Business Type,Region,Rep.Office,Country,Translated Account Name,Account Name,Account Manager,Business Group
Expansion,China Region,China Region,,China Telecom Holding Limited Hunan Subsidiary,中国电信股份有限公司湖南分公司,,Operator
Expansion,China Region,China Region,China,China Mobile Telecom Limited,中国移动通信有限公司,public isales_c3_pub,Operator
Expansion,China Region,China Region,China,Heilongjiang Province Telecom Management Bureau,黑龙江省通信管理局,,Operator
New License&New Network,China Region,China Region,China,,ASSISTT REHBERLIK VE MUSTERI HIZMETLERI A.S.,,Operator
Expansion,China Region,China Region,China,Heilongjiang Province Telecom Management Bureau,黑龙江省通信管理局,,Operator
Expansion,China Region,China Region,China,Heilongjiang Province Telecom Management Bureau,黑龙江省通信管理局,,Operator
Others,China Region,China Region,China,,Koryolink,zhaochao 00291855,Operator
Expansion,China Region,China Region,China,,Koryolink,zhaochao 00291855,Operator
Expansion,China Region,China Region,China,Beijing Tianze Boya Information Tech Limited (Panda),北京天择博雅信息技术有限公司,zhaochao 00291855,Operator
Others,China Region,China Region,China,,Koryolink,zhaochao 00291855,Operator
,China Region,China Region,China,Beijing Tianze Boya Information Tech Limited (Panda),北京天择博雅信息技术有限公司,zhaochao 00291855,Operator
Expansion,China Region,China Region,China,Beijing Tianze Boya Information Tech Limited (Panda),北京天择博雅信息技术有限公司,piaoxuanyu 00185985,Operator
Others,China Region,China Region,China,China Telecom Guangxia Road Service Hall,中国电信光复路服务厅,public isales_c3_pub,Operator
Others,China Region,China Region,China,China Civil Aviation Northeast Region Management bureau,中国民用航空东北地区管理局,public ISALES_C5_PUB,Operator
Others,China Region,China Region,China,China Tower Limited,中国铁塔股份有限公司,lifang 00179842,Operator
,China Region,China Region,China,People's JFJ93088BD communications operation (PLA?),中国人民JFJ93088BD通信营,public ISALES_C4_PUB,Operator
,China Region,China Region,China,China Software and Technology Service Co Wuhan Subsidiary,中国软件与技术服务股份有限公司武汉分公司,public ISALES_C2_PUB,Operator
Others,China Region,China Region,China,Xiamen Baoxin Supply Chain,厦门宝欣供应链股份有限公司,"zhaochao 00291855,piaoxuanyu 00185985",Operator
,China Region,China Region,"Korea, Democratic People's Republic of",Beijing Tianze Boya Information Tech Limited (Panda),北京天择博雅信息技术有限公司,"piaoxuanyu 00185985,zhaochao 00291855",Operator
,China Region,China Region,China,China United Network Group (Unicom),中国联合网络通信集团有限公司,"public ISALES_C_PUB,public ISALES_C_PUB,public isales_c3_pub,public isales_c2_pub",Operator
,China Region,China Region,China,Xiamen Baoxin Supply Chain,厦门宝欣供应链股份有限公司,"zhaochao 00291855,piaoxuanyu 00185985",Operator
Expansion,China Region,China Region,China,Xiamen Baoxin Supply Chain,厦门宝欣供应链股份有限公司,"zhaochao 00291855,piaoxuanyu 00185985",Operator
,China Region,China Region,China,Xiamen Baoxin Supply Chain,厦门宝欣供应链股份有限公司,"zhaochao 00291855,piaoxuanyu 00185985",Operator
Expansion,China Region,China Region,China,Beijing Tianze Boya Information Tech Limited (Panda),北京天择博雅信息技术有限公司,"piaoxuanyu 00185985,zhaochao 00291855",Operator
New License&New Network,China Region,China Region,China,Beijing Tianze Boya Information Tech Limited (Panda),北京天择博雅信息技术有限公司,"zhaochao 00291855,piaoxuanyu 00185985",Operator
Others,China Region,China Region,China,Beijing Tianze Boya Information Tech Limited (Panda),北京天择博雅信息技术有限公司,"zhaochao 00291855,piaoxuanyu 00185985",Operator
Expansion,China Region,China Region,China,Beijing Tianze Boya Information Tech Limited (Panda),北京天择博雅信息技术有限公司,piaoxuanyu 00185985,Operator
Others,China Region,China Region,China,Beijing Tianze Boya Information Tech Limited (Panda),北京天择博雅信息技术有限公司,"zhaochao 00291855,piaoxuanyu 00185985",Operator
,China Region,China Region,China,Beijing Tianze Boya Information Tech Limited (Panda),北京天择博雅信息技术有限公司,piaoxuanyu 00185985,Operator
Others,China Region,China Region,China,Beijing Tianze Boya Information Tech Limited (Panda),北京天择博雅信息技术有限公司,"zhaochao 00291855,piaoxuanyu 00185985",Operator
Expansion,China Region,China Region,China,Xiamen Baoxin Supply Chain,厦门宝欣供应链股份有限公司,piaoxuanyu 00185985,Operator
Expansion,China Region,China Region,China,Beijing Tianze Boya Information Tech Limited (Panda),北京天择博雅信息技术有限公司,piaoxuanyu 00185985,Operator
Expansion,China Region,China Region,China,Beijing Tianze Boya Information Tech Limited (Panda),北京天择博雅信息技术有限公司,piaoxuanyu 00185985,Operator
Others,China Region,China Region,China,Beijing Tianze Boya Information Tech Limited (Panda),北京天择博雅信息技术有限公司,piaoxuanyu 00185985,Operator
Others,China Region,China Region,China,Xiamen Baoxin Supply Chain,厦门宝欣供应链股份有限公司,piaoxuanyu 00185985,Operator
,China Region,China Region,China,Beijing Tianze Boya Information Tech Limited (Panda),北京天择博雅信息技术有限公司,"piaoxuanyu 00185985,zhaochao 00291855",Operator
,China Region,China Region,China,Beijing Tianze Boya Information Tech Limited (Panda),北京天择博雅信息技术有限公司,"zhaochao 00291855,piaoxuanyu 00185985",Operator
,China Region,China Region,China,Beijing Tianze Boya Information Tech Limited (Panda),北京天择博雅信息技术有限公司,"piaoxuanyu 00185985,zhaochao 00291855",Operator
New License&New Network,China Region,China Region,China,Beijing Tianze Boya Information Tech Limited (Panda),北京天择博雅信息技术有限公司,piaoxuanyu 00185985,Operator
Expansion,China Region,China Region,China,Beijing Tianze Boya Information Tech Limited (Panda),北京天择博雅信息技术有限公司,"piaoxuanyu 00185985,zhaochao 00291855,xieqiuxiang 00387248",Operator
,China Region,China Region,China,Beijing Tianze Boya Information Tech Limited (Panda),北京天择博雅信息技术有限公司,piaoxuanyu 00185985,Operator
Others,China Region,China Region,China,Beijing Tianze Boya Information Tech Limited (Panda),北京天择博雅信息技术有限公司,"piaoxuanyu 00185985,xieqiuxiang 00387248",Operator
Expansion,China Region,China Region,China,Beijing Tianze Boya Information Tech Limited (Panda),北京天择博雅信息技术有限公司,"piaoxuanyu 00185985,xieqiuxiang 00387248,piaoxuehua 00387749",Operator
Expansion,China Region,China Region,China,Xiamen Baoxin Supply Chain,厦门宝欣供应链股份有限公司,"zhaochao 00291855,piaoxuanyu 00185985,xieqiuxiang 00387248,piaoxuehua 00387749",Operator
Expansion,China Region,China Region,China,Beijing Tianze Boya Information Tech Limited (Panda),北京天择博雅信息技术有限公司,"zhaochao 00291855,piaoxuanyu 00185985,xieqiuxiang 00387248,piaoxuehua 00387749",Operator
,China Region,China Region,China,Beijing Tianze Boya Information Tech Limited (Panda),北京天择博雅信息技术有限公司,"piaoxuanyu 00185985,piaoxuehua 00387749,xieqiuxiang 00387248",Operator
Others,China Region,China Region,China,Beijing Tianze Boya Information Tech Limited (Panda),北京天择博雅信息技术有限公司,"piaoxuanyu 00185985,xieqiuxiang 00387248",Operator
Others,China Region,China Region,China,Beijing Tianze Boya Information Tech Limited (Panda),北京天择博雅信息技术有限公司,piaoxuanyu 00185985,Operator
Others,China Region,China Region,China,Beijing Tianze Boya Information Tech Limited (Panda),北京天择博雅信息技术有限公司,piaoxuanyu 00185985,Operator
Others,China Region,China Region,China,Beijing Tianze Boya Information Tech Limited (Panda),北京天择博雅信息技术有限公司,piaoxuanyu 00185985,Operator
Others,China Region,China Region,China,Xiamen Baoxin Supply Chain,厦门宝欣供应链股份有限公司,piaoxuanyu 00185985,Operator
Others,China Region,China Region,China,Beijing Tianze Boya Information Tech Limited (Panda),北京天择博雅信息技术有限公司,piaoxuanyu 00185985,Operator
New License&New Network,China Region,China Region,China,Beijing Tianze Boya Information Tech Limited (Panda),北京天择博雅信息技术有限公司,piaoxuanyu 00185985,Operator
Expansion,China Region,China Region,China,Beijing Tianze Boya Information Tech Limited (Panda),北京天择博雅信息技术有限公司,piaoxuanyu 00185985,Operator
,China Region,China Region,China,Beijing Tianze Boya Information Tech Limited (Panda),北京天择博雅信息技术有限公司,piaoxuanyu 00185985,Operator
,China Region,China Region,China,Beijing Tianze Boya Information Tech Limited (Panda),北京天择博雅信息技术有限公司,piaoxuanyu 00185985,Operator
,China Region,China Region,China,Beijing Tianze Boya Information Tech Limited (Panda),北京天择博雅信息技术有限公司,piaoxuanyu 00185985,Operator
,China Region,China Region,China,Beijing Tianze Boya Information Tech Limited (Panda),北京天择博雅信息技术有限公司,piaoxuanyu 00185985,Operator
Expansion,China Region,China Region,China,Beijing Tianze Boya Information Tech Limited (Panda),北京天择博雅信息技术有限公司,"piaoxuanyu 00185985,xieqiuxiang 00387248,piaoxuehua 00387749",Operator
Expansion,China Region,China Region,China,Beijing Tianze Boya Information Tech Limited (Panda),北京天择博雅信息技术有限公司,"piaoxuehua 00387749,xieqiuxiang 00387248",Operator
Others,China Region,China Region,China,Beijing Tianze Boya Information Tech Limited (Panda),北京天择博雅信息技术有限公司,"piaoxuanyu 00185985,xieqiuxiang 00387248",Operator
Others,China Region,China Region,China,Xiamen Baoxin Supply Chain,厦门宝欣供应链股份有限公司,"piaoxuanyu 00185985,xieqiuxiang 00387248,piaoxuehua 00387749",Operator
Others,China Region,China Region,China,Beijing Tianze Boya Information Tech Limited (Panda),北京天择博雅信息技术有限公司,"piaoxuanyu 00185985,xieqiuxiang 00387248",Operator
Others,China Region,China Region,China,Beijing Tianze Boya Information Tech Limited (Panda),北京天择博雅信息技术有限公司,xieqiuxiang 00138464,Operator
Others,China Region,China Region,China,,Korea Post and Telecommunications Trade Corp,"piaoxuehua 00139626,fansai 00201251",Consumer
Others,China Region,China Region,China,,Panda-C,piaoxuehua 00139626,Operator
New License&New Network,China Region,China Region,China,,Panda-C,piaoxuehua 00139626,Operator
Others,China Region,China Region,China,,Panda-C,piaoxuehua 00139626,Operator
New License&New Network,China Region,China Region,China,,Koryolink,xieqiuxiang 00138464,Operator
Others,China Region,China Region,China,,Panda-C,piaoxuehua 00139626,Operator
New License&New Network,China Region,China Region,China,,Panda-C,xieqiuxiang 00138464,Operator
Expansion,China Region,China Region,China,Beijing Tianze Boya Information Tech Limited (Panda),北京天择博雅信息技术有限公司,"xieqiuxiang 00387248,piaoxuanyu 00185985",Operator
New License&New Network,China Region,China Region,China,Beijing Tianze Boya Information Tech Limited (Panda),北京天择博雅信息技术有限公司,piaoxuanyu 00185985,Operator
SWAP,China Region,China Region,China,Beijing Tianze Boya Information Tech Limited (Panda),北京天择博雅信息技术有限公司,piaoxuanyu 00185985,Operator
SWAP,China Region,China Region,China,Beijing Tianze Boya Information Tech Limited (Panda),北京天择博雅信息技术有限公司,"xieqiuxiang 00387248,piaoxuanyu 00185985",Operator
Expansion,China Region,China Region,China,,Panda-C,xieqiuxiang 00387248,Operator
Expansion,China Region,China Region,China,,Panda-C,"piaoxuanyu 00185985,xieqiuxiang 00387248",Operator
Expansion,China Region,China Region,China,,Panda-C,piaoxuehua 00139626,Operator
New License&New Network,China Region,China Region,China,,Panda-C,piaoxuehua 00139626,Operator
Others,China Region,China Region,China,,Panda-C,piaoxuehua 00139626,Operator
Others,China Region,China Region,China,,Panda-C,piaoxuehua 00139626,Consumer
SWAP,China Region,China Region,China,,Panda-C,"piaoxuanyu 00185985,xieqiuxiang 00387248",Operator
Others,China Region,China Region,China,Matsunishi Digital Development (Shenzhen) Ltd,松日数码发展（深圳）有限公司,,Consumer
Expansion,China Region,China Region,China,,Panda-C,piaoxuanyu 00185985,Operator
New License&New Network,China Region,China Region,China,,Panda-C,piaoxuanyu 00185985,Operator
Others,China Region,China Region,China,Unicom Huasheng,联通华盛通信有限公司,yanjiaxuanzi 00228152,Consumer
Others,China Region,China Region,China,,Panda-C,xieqiuxiang 00387248,Operator
New License&New Network,China Region,China Region,China,,Panda-C,piaoxuanyu 00185985,Operator
New License&New Network,China Region,China Region,China,,Panda-C,piaoxuanyu 00185985,Operator
Expansion,China Region,China Region,China,Beijing Tianze Boya Information Tech Limited (Panda),北京天择博雅信息技术有限公司,piaoxuanyu 00185985,Operator
Expansion,China Region,China Region,China,Beijing Tianze Boya Information Tech Limited (Panda),北京天择博雅信息技术有限公司,piaoxuanyu 00185985,Operator
